dimension,slice,variant,target_fp_per_image,threshold_selected_on_policy,images,ground_truth,true_positives,false_positives,recall,fp_per_image
source_role,calibrator_source_unseen,class_logistic,0.5,0.5461386452851359,682,4079,1627,289,0.3988722726158372,0.4237536656891496
source_role,calibrator_source_unseen,class_logistic,1.0,0.4099827960831759,682,4079,2203,682,0.5400833537631773,1.0
source_role,calibrator_source_unseen,full_metadata,0.1,0.8751093829330712,682,4079,724,78,0.1774944839421426,0.1143695014662756
source_role,calibrator_source_unseen,full_metadata,0.25,0.7743658760101133,682,4079,971,172,0.2380485413091444,0.252199413489736
source_role,calibrator_source_unseen,full_metadata,0.5,0.6614888134856454,682,4079,1252,330,0.306937974993871,0.4838709677419355
source_role,calibrator_source_unseen,full_metadata,1.0,0.5367560073493697,682,4079,1594,553,0.3907820544251042,0.8108504398826979
source_role,calibrator_source_unseen,global_logistic,0.1,0.7212421133598206,682,4079,810,32,0.1985780828634469,0.0469208211143695
source_role,calibrator_source_unseen,global_logistic,0.25,0.6397936030446776,682,4079,1084,107,0.2657514096592302,0.156891495601173
source_role,calibrator_source_unseen,global_logistic,0.5,0.538856722456463,682,4079,1658,281,0.4064721745525864,0.4120234604105572
source_role,calibrator_source_unseen,global_logistic,1.0,0.4119000581518251,682,4079,2265,661,0.5552831576366757,0.969208211143695
source_role,calibrator_source_unseen,raw,0.1,0.7017635703086853,682,4079,810,32,0.1985780828634469,0.0469208211143695
source_role,calibrator_source_unseen,raw,0.25,0.6211246848106384,682,4079,1084,107,0.2657514096592302,0.156891495601173
source_role,calibrator_source_unseen,raw,0.5,0.5229954719543457,682,4079,1658,281,0.4064721745525864,0.4120234604105572
source_role,calibrator_source_unseen,raw,1.0,0.4013839364051819,682,4079,2265,661,0.5552831576366757,0.969208211143695
source_role,policy_source_seen,altitude,0.1,0.7531974882782179,186,1049,179,2,0.1706387035271687,0.010752688172043
source_role,policy_source_seen,altitude,0.25,0.6588669818981866,186,1049,196,15,0.1868446139180171,0.0806451612903225
source_role,policy_source_seen,altitude,0.5,0.5499181426231659,186,1049,269,66,0.2564346997140133,0.3548387096774194
source_role,policy_source_seen,altitude,1.0,0.4127592836329306,186,1049,363,192,0.3460438512869399,1.032258064516129
source_role,policy_source_seen,altitude_gimbal,0.1,0.8602006674576257,186,1049,176,5,0.1677788369876072,0.0268817204301075
