epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,3779.17,1.41393,0.59241,0.81652,0.61129,0.49551,0.51415,0.26132,1.80458,0.83018,0.83745,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3911.87,1.40219,0.58671,0.81535,0.60285,0.51354,0.51551,0.26049,1.84888,0.87012,0.85297,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4045.72,1.40716,0.58751,0.8149,0.80641,0.49856,0.50953,0.25862,1.80864,0.83512,0.84227,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4174.21,1.39266,0.57829,0.81337,0.60996,0.52006,0.52786,0.2737,1.80422,0.81471,0.83956,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4302.44,1.39375,0.58328,0.81422,0.60392,0.50598,0.51054,0.26071,1.83353,0.87891,0.85019,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4432.68,1.37657,0.57578,0.80996,0.81017,0.51502,0.50927,0.26186,1.81155,0.84839,0.8359,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4563.72,1.39214,0.57797,0.81224,0.78753,0.49918,0.49087,0.25047,1.84515,0.88445,0.83922,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4697.48,1.38262,0.57649,0.81477,0.60522,0.49174,0.49616,0.25476,1.79549,0.84876,0.8358,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4831.79,1.37931,0.57196,0.81208,0.60668,0.49796,0.51084,0.26403,1.81344,0.81839,0.83651,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4961.24,1.37816,0.57609,0.81145,0.81275,0.51414,0.51177,0.26404,1.80415,0.81551,0.83843,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5090.14,1.36386,0.56806,0.81358,0.60808,0.51763,0.51499,0.27103,1.7697,0.80526,0.83175,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5223.09,1.35895,0.56342,0.81298,0.78267,0.50754,0.50304,0.26182,1.83043,0.82759,0.83585,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5352.85,1.36829,0.56798,0.81002,0.62451,0.51261,0.51392,0.2654,1.80302,0.80921,0.83461,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5483.81,1.35479,0.56103,0.80757,0.61429,0.51694,0.51489,0.26864,1.82278,0.81256,0.83983,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5621.77,1.35792,0.56158,0.81056,0.60351,0.50271,0.50405,0.25983,1.84865,0.84858,0.84861,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5757.65,1.34867,0.55916,0.8068,0.59865,0.51957,0.51325,0.26824,1.81513,0.79499,0.83855,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5892.36,1.34141,0.55603,0.80675,0.60762,0.52742,0.52577,0.26896,1.81887,0.8013,0.83925,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6018.06,1.33237,0.54709,0.80651,0.60472,0.53141,0.52637,0.26789,1.82594,0.79824,0.84049,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6142.89,1.33779,0.5514,0.80716,0.60178,0.51588,0.51839,0.2646,1.81157,0.80329,0.83735,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6269.35,1.3343,0.55146,0.80703,0.607,0.51134,0.50356,0.25837,1.80777,0.807,0.83693,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6388.14,1.31966,0.54447,0.80518,0.61207,0.49223,0.5035,0.2625,1.79847,0.83552,0.83808,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6505.86,1.32582,0.54862,0.80856,0.60806,0.50791,0.50478,0.26013,1.81748,0.82687,0.83771,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6625.62,1.32925,0.54774,0.80654,0.59761,0.50971,0.50538,0.25712,1.8197,0.85647,0.83855,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6741.1,1.32125,0.54447,0.80625,0.62276,0.50262,0.50823,0.26048,1.79418,0.81842,0.83501,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
